,word,relevancy
0,prãªmio,22.74966715193696
1,fuse,21.697353130782037
2,pingback:,21.25956316156894
3,bloco:,21.221617902949344
4,diagram,21.07278867959328
5,shopify,20.60663569399271
6,opencart,20.491736995357314
7,selecioneo,20.421623798676627
8,django,20.320834359391018
9,python,20.00538201233771
10,joomla,20.00318212254556
11,drupal,19.770643650994728
12,oscommerce,19.59372726563219
13,wiring,19.58819541143696
14,diamax,19.449162871878343
15,downloads,19.317716944371806
16,mecanico,19.1144205299793
17,carros-,18.998067217166763
18,commerce,18.890169819307292
19,slides,18.6916501591518
20,"""none"";",18.412346500877238
21,requerente:,18.195128960099073
22,sistema?,18.174908994684625
23,carregadeira,18.081639479520536
24,|foto:,17.982632179249485
25,chamamento,17.968594595814274
26,renováveis,17.82286240450012
27,agencia,17.761017499582685
28,boton,17.60233475737782
29,prestashop,17.584339791445352
30,energias,17.549367250821717
31,requerido:,17.418059403004186
32,paladino,17.382876264085347
33,sancas,17.366239978441513
34,magento,17.36325720577404
35,tiktok,17.354582255837936
36,carregadeira-,17.285069185505
37,/dia,17.28499243906394
38,[editar],17.245046861065493
39,escavadeira,17.240377199118676
40,alcool,17.179611467907524
41,location,17.125305490110584
42,serie,17.124419741461935
43,this;,16.99683294422492
44,distac,16.994957515931198
45,vitrificação,16.975722520648652
46,esteira,16.941064492561072
47,trator,16.918676716053525
48,motoniveladora,16.848725970404608
49,canal:,16.83617179477522
50,fuses,16.816843778020772
51,blindagem.,16.807457202444873
52,diagrams,16.798803998055085
53,kart:,16.770472270815
54,colheitadeira,16.741696648192338
55,b.movel,16.730010255774214
56,"""block"";",16.722994984012033
57,b.fixo,16.722467452367248
58,compactador,16.687567278197324
59,cidade/estado:,16.665490351244568
60,ecommerce,16.664246440261323
61,intimo,16.622458841184677
62,guindaste,16.596493658517517
63,says:,16.554976694327152
64,jta.motor,16.539952884127963
65,lighter,16.49857691412851
66,"blindagem,",16.489794705550384
67,thermal,16.486694513760384
68,aceleraai,16.430772459000348
69,seda,16.428378550822295
70,disse:,16.412666558655978
71,padding:,16.39419262109189
72,woocommerce,16.354002757081954
73,jta.cabecote,16.288898659434704
74,"blindado,",16.243274357613302
75,subgrupo,16.22810264877648
76,bolpar,16.205173751936513
77,ltda-caoa,16.17343231297412
78,amort.,16.165881194461804
79,behling,16.152205496198345
80,raspadorora,16.134151846856163
81,margin:,16.111377214374688
82,maytag,16.083043910995805
83,"tradutor,",16.062128628114387
84,jácotei,16.062012663146344
85,blindadora,16.00057370804003
86,logotipo,15.965628593969349
87,waiver,15.94532065287742
88,mileage:,15.900477888400705
89,supermercados,15.867026132664074
90,judicial/online,15.862827119143505
91,oea-s,15.862827119143505
92,free,15.847077580848518
93,"null,",15.844141997225467
94,none;,15.834109682867906
95,bonecos,15.831014966675694
96,telescopico,15.825667875446035
97,rolo,15.821812932460787
98,retro,15.812888668709126
99,rally:,15.799515659754247
